,title_y
546,Minions
95,Interstellar
788,Deadpool
94,Guardians of the Galaxy
127,Mad Max: Fury Road
28,Jurassic World
199,Pirates of the Caribbean: The Curse of the Black Pearl
82,Dawn of the Planet of the Apes
200,The Hunger Games: Mockingjay - Part 1
88,Big Hero 6
108,Terminator Genisys
26,Captain America: Civil War
3865,Whiplash
65,The Dark Knight
270,The Martian
96,Inception
124,Frozen
9,Batman v Superman: Dawn of Justice
0,Avatar
662,Fight Club
12,Pirates of the Caribbean: Dead Man's Chest
2522,The Imitation Game
16,The Avengers
3337,The Godfather
238,Teenage Mutant Ninja Turtles
693,Gone Girl
362,Pixels
456,Fury
64,X-Men: Apocalypse
1,Pirates of the Caribbean: At World's End
